Country,ScenarioLabel,TreatmentYear,PreferredConvention,Year,TreatedOutcome,SyntheticOutcome,GapLevel,GapPct
New Zealand,2011 start (preferred),2011,True,2005,35268.0,34740.81179174252,527.1882082574812,1.494806079895319
New Zealand,2011 start (preferred),2011,True,2006,36686.0,36744.49041441141,-58.49041441141162,-0.159435246174049
New Zealand,2011 start (preferred),2011,True,2007,38512.0,38137.711147150774,374.2888528492258,0.9718759162059248
New Zealand,2011 start (preferred),2011,True,2008,40998.0,40932.51713192763,65.4828680723731,0.1597221036937731
New Zealand,2011 start (preferred),2011,True,2009,41846.0,42043.39107240585,-197.39107240585145,-0.4717083410740607
New Zealand,2011 start (preferred),2011,True,2010,42420.0,42208.962927646055,211.0370723539454,0.49749427711915467
New Zealand,2011 start (preferred),2011,True,2011,44623.0,44037.66484873421,585.33515126579,1.311734198206732
New Zealand,2011 start (preferred),2011,True,2012,47514.0,45860.53863405796,1653.461365942043,3.479945628534838
New Zealand,2011 start (preferred),2011,True,2013,49482.0,45966.17803634342,3515.8219636565773,7.105254362508745
New Zealand,2011 start (preferred),2011,True,2014,54177.0,48380.52641258421,5796.473587415792,10.699140940649707
New Zealand,2011 start (preferred),2011,True,2015,55460.0,48797.0595793455,6662.9404206545005,12.013956762810134
New Zealand,2011 start (preferred),2011,True,2016,55712.0,49530.02657293448,6181.973427065517,11.096304973911396
New Zealand,2011 start (preferred),2011,True,2017,56067.0,52034.357418056265,4032.6425819437354,7.192542104881188
New Zealand,2011 start (preferred),2011,True,2018,59214.0,55767.741997295896,3446.258002704104,5.820005408694065
New Zealand,2011 start (preferred),2011,True,2019,60963.0,57816.840707594485,3146.159292405515,5.160768486468046
New Zealand,2011 start (preferred),2011,True,2020,63380.0,59490.715987325195,3889.284012674805,6.1364531597898475
New Zealand,2011 start (preferred),2011,True,2021,62198.0,60759.43219444666,1438.5678055533426,2.31288434604544
New Zealand,2011 start (preferred),2011,True,2022,67455.0,65200.47034719348,2254.529652806523,3.3422721114913982
New Zealand,2011 start (preferred),2011,True,2023,72620.0,70172.8266378293,2447.1733621706953,3.3698338779546892
New Zealand,2012 sequence-aware start,2012,False,2000,26604.0,26597.323991561527,6.676008438473218,0.025094002550267697
New Zealand,2012 sequence-aware start,2012,False,2001,27799.0,28353.855727679995,-554.8557276799947,-1.995955709485934
New Zealand,2012 sequence-aware start,2012,False,2002,29500.0,30052.6415321135,-552.6415321134991,-1.8733611258084717
New Zealand,2012 sequence-aware start,2012,False,2003,30895.0,30822.701078531005,72.2989214689951,0.23401495863083058
New Zealand,2012 sequence-aware start,2012,False,2004,32739.0,32816.645910865234,-77.64591086523433,-0.23716640968030278
New Zealand,2012 sequence-aware start,2012,False,2005,35268.0,34727.10808823536,540.8919117646365,1.5336619932081106
New Zealand,2012 sequence-aware start,2012,False,2006,36686.0,36738.48719941956,-52.48719941955642,-0.14307146982379224
New Zealand,2012 sequence-aware start,2012,False,2007,38512.0,38182.74759425458,329.25240574542113,0.8549345807681271
New Zealand,2012 sequence-aware start,2012,False,2008,40998.0,41037.055082919826,-39.05508291982551,-0.09526094667990026
New Zealand,2012 sequence-aware start,2012,False,2009,41846.0,42223.663980782105,-377.6639807821048,-0.902509154476186
New Zealand,2012 sequence-aware start,2012,False,2010,42420.0,42345.75633136557,74.24366863442992,0.175020435253253
New Zealand,2012 sequence-aware start,2012,False,2011,44623.0,44178.391458314356,444.608541685644,0.9963663171136947
New Zealand,2012 sequence-aware start,2012,False,2012,47514.0,46023.270678930414,1490.7293210695861,3.1374527951121487
New Zealand,2012 sequence-aware start,2012,False,2013,49482.0,46097.022007697735,3384.977992302265,6.840826951825442
New Zealand,2012 sequence-aware start,2012,False,2014,54177.0,48535.58369694667,5641.416303053331,10.412935937858006
New Zealand,2012 sequence-aware start,2012,False,2015,55460.0,48920.14886202478,6539.8511379752235,11.792014312973716
New Zealand,2012 sequence-aware start,2012,False,2016,55712.0,49603.78705966858,6108.2129403314175,10.963908925063572
New Zealand,2012 sequence-aware start,2012,False,2017,56067.0,52122.310379346265,3944.689620653735,7.035670930589714
New Zealand,2012 sequence-aware start,2012,False,2018,59214.0,55903.50475823542,3310.4952417645836,5.590730641004802
New Zealand,2012 sequence-aware start,2012,False,2019,60963.0,57961.86313340841,3001.136866591587,4.922882513313956
New Zealand,2012 sequence-aware start,2012,False,2020,63380.0,59622.513384715196,3757.4866152848044,5.928505230805939
New Zealand,2012 sequence-aware start,2012,False,2021,62198.0,60835.392611977106,1362.6073880228942,2.190757561373186
New Zealand,2012 sequence-aware start,2012,False,2022,67455.0,65216.15475470704,2238.845245292963,3.3190204511051267
New Zealand,2012 sequence-aware start,2012,False,2023,72620.0,70200.43822964688,2419.561770353117,3.3318118567242037
